plasmid_id	orf_id	start	end	strand	COG_category	COG_description	Domains	AMR_class	AMR_mechanism	AMR_gene	AMR_identity
SRR23967295_RNODE_661_length_10338_cov_7.72228	SRR23967295_RNODE_661_length_10338_cov_7.72228_20	14991	15863	-1							
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_5	5580	6026	-1							
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_6	6047	6850	-1	S	periplasmic protein (DUF2092)	G3DSA:2.50.20.10|Lipoprotein localisation LolA/LolB/LppX;PF09865|Predicted periplasmic protein (DUF2092);SSF89392|Prokaryotic lipoproteins and lipoprotein localization factors				
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_7	6952	7599	-1			Coil|Coil				
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_8	7625	7924	-1	-	-					
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_9	7962	10247	-1	-	-	G3DSA:2.40.128.130|-;PF03797|Autotransporter beta-domain;PS51208|Autotransporter beta-domain profile.;SM00869|Autotransporter_2;SSF103515|Autotransporter				
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_10	10418	12388	-1	S	Autotransporter beta-domain	G3DSA:2.40.128.130|-;PF03797|Autotransporter beta-domain;PS51208|Autotransporter beta-domain profile.;SM00869|Autotransporter_2;SSF103515|Autotransporter;TIGR02913|JCVI: HAF repeat				
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_11	12547	14451	1	T	His Kinase A (phosphoacceptor) domain	G3DSA:1.10.287.130|-;G3DSA:2.60.40.2380|-;G3DSA:3.30.565.10|-;PF00512|His Kinase A (phospho-acceptor) domain;PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;PF07696|7TMR-DISM extracellular 2;PS50109|Histidine kinase domain profile.;PTHR45453|PHOSPHATE REGULON SENSOR PROTEIN PHOR;SM00387|HKATPase_4;SM00388|HisKA_10;SSF47384|Homodimeric domain of signal transducing histidine kinase;SSF55874|ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase;cd00075|HATPase;cd00082|HisKA	Biocide_and_metal_resistance;Cationic_antimicrobial_peptides;Copper_resistance;Drug_and_biocide_and_metal_resistance;Drug_and_biocide_resistance;Glycopeptides;Lipopeptides;Multi-drug_resistance;Multi-metal_resistance;Nickel_resistance	Biocide_and_metal_resistance_regulator;Copper_resistance_regulator;Daptomycin-resistant_mutant;Drug_and_biocide_MFS_efflux_regulator;Drug_and_biocide_RND_efflux_pumps;Drug_and_biocide_RND_efflux_regulator;Drug_and_biocide_and_metal_RND_efflux_regulator;MDR_regulator;Multi-metal_RND_efflux_regulator;Nickel_resistance_regulator;Polymyxin_B_resistance_regulator;VanA-type_regulator;VanB-type_regulator;VanC-type_regulator;VanD-type_regulator;VanE-type_regulator;VanL-type_regulator;VanN-type_regulator	ACTS;ADES;ARLS;BAES;BASRS;COPS;CUSS;EVGS;NRSS;PCOS;SILS;SME;VANRA;VANRB;VANSA;VANSB;VANSC;VANSD;VANSE;VANSL;VANSN;WALK	28.959
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_12	14448	15164	1	KT	Transcriptional regulatory protein, C terminal	G3DSA:1.10.10.10|-;G3DSA:3.40.50.2300|-;PF00072|Response regulator receiver domain;PF00486|Transcriptional regulatory protein, C terminal;PS50110|Response regulatory domain profile.;PS51755|OmpR/PhoB-type DNA-binding domain profile.;PTHR48111|REGULATOR OF RPOS;SM00448|REC_2;SM00862|Trans_reg_C_3;SSF46894|C-terminal effector domain of the bipartite response regulators;SSF52172|CheY-like;cd17574|REC_OmpR	Cationic_antimicrobial_peptides;Copper_resistance;Drug_and_biocide_and_metal_resistance;Drug_and_biocide_resistance;Drug_and_metal_resistance;Glycopeptides;Lipopeptides;Multi-drug_resistance;Multi-metal_resistance;Nickel_resistance;betalactams	Colistin-resistant_mutant;Colistin_phosphoethanolamine_transferase;Copper_resistance_regulator;Drug_and_biocide_ABC_efflux_regulator;Drug_and_biocide_RND_efflux_pumps;Drug_and_biocide_RND_efflux_regulator;Drug_and_biocide_and_metal_RND_efflux_regulator;Drug_and_metal_MFS_efflux_pumps;MDR_regulator;Multi-drug_RND_efflux_regulator;Multi-metal_RND_efflux_pumps;Multi-metal_RND_efflux_regulator;Multi-metal_resistance_regulator;Mutant_porin_proteins;Nickel_resistance_regulator;Polymyxin_B_resistance_regulator;VanA-type_regulator;VanB-type_regulator;VanC-type_regulator;VanC-type_resistance_protein;VanD-type_regulator;VanD-type_resistance_protein;VanE-type_regulator;VanF-type_accessory_protein;VanG-type_regulator;VanL-type_regulator;VanM-type_regulator;VanN-type_regulator;VanO-type_regulator;VanR-type_regulator	ADER;ARLR;BAER;BASRS;COPR;CORR;CPRR;CPXAR;CUSR;CZCR;IRLR;MTRAD;NRSR;OMPR;PARR;PCOR;PHOB;PHOP;PMRAM;PMRAR;SILP;SILR;SME;VANHD;VANRA;VANRB;VANRC;VANRD;VANRE;VANRG;VANRI;VANRL;VANRN;VANRO;VANRS;VANSM;VANXYC;VANYF	39.344
SRR23967295_RNODE_662_length_10867_cov_11.27850	SRR23967295_RNODE_662_length_10867_cov_11.27850_13	15161	16051	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_36	30281	31180	-1			Coil|Coil;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_37	31177	31581	-1			mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_38	31585	32214	-1			Coil|Coil				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_39	32211	33197	-1			mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_40	33200	34444	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_41	34447	34683	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_42	34680	36923	-1	-	-	Coil|Coil				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_43	36995	37198	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_44	37243	38709	-1	S	Terminase-like family	G3DSA:3.30.420.280|-;PF03237|Terminase large subunit, T4likevirus-type, N-terminal;PF17289|Terminase RNaseH-like domain;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_45	38699	39166	-1	L	Terminase small subunit	G3DSA:1.10.10.1400|-				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_46	39166	39468	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_47	39465	39770	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_48	39776	40216	-1	S	NinB protein	G3DSA:1.10.3790.10|NinB;PF05772|NinB protein;SSF103370|NinB				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_49	40210	40689	-1	L	Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC	G3DSA:3.30.1330.70|Holliday junction resolvase RusA;SSF103084|Holliday junction resolvase RusA;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_50	40708	41190	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_51	41187	42119	-1	S	Protein of unknown function (DUF1376)	PF07120|Protein of unknown function (DUF1376);mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_52	42172	42963	-1			Coil|Coil				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_53	43056	43295	-1			PF01402|Ribbon-helix-helix protein, copG family				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_54	43418	43699	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_55	43692	43949	-1	S	sequence-specific DNA binding	G3DSA:1.10.260.40|-;PF15943|Bacterial toxin YdaS;SSF47413|lambda repressor-like DNA-binding domains				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_56	44009	45208	1	S	Protein of unknown function (DUF3037)	G3DSA:1.10.260.40|-;PF01381|Helix-turn-helix;PF11236|Protein of unknown function (DUF3037);PS50943|Cro/C1-type HTH domain profile.;SM00530|mbf_short4;SSF47413|lambda repressor-like DNA-binding domains;cd00093|HTH_XRE				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_57	45606	46010	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_58	46290	47279	1	S	RecT family	PF03837|RecT family				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_59	47276	47779	1	S	HNH endonuclease	G3DSA:3.30.730.10|AP2/ERF domain;G3DSA:3.90.75.20|-;PF00847|AP2 domain;PF13392|HNH endonuclease;PS51032|AP2/ERF domain profile.;SM00380|rav1_2;SSF54060|His-Me finger endonucleases;SSF54171|DNA-binding domain				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_60	47776	48453	1	L	YqaJ-like viral recombinase domain	Coil|Coil;G3DSA:3.90.320.10|-;PF09588|YqaJ-like viral recombinase domain;PTHR46609|EXONUCLEASE, PHAGE-TYPE/RECB, C-TERMINAL DOMAIN-CONTAINING PROTEIN;SSF52980|Restriction endonuclease-like;cd22343|PDDEXK_lambda_exonuclease-like				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_61	48450	48632	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_62	48635	48868	1			Coil|Coil;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_63	48911	49858	1	S	C-5 cytosine-specific DNA methylase	G3DSA:3.40.50.150|Vaccinia Virus protein VP39;PF00145|C-5 cytosine-specific DNA methylase;PS00094|C-5 cytosine-specific DNA methylases active site.;PS51679|C-5 cytosine-specific DNA methylase (Dnmt) domain profile.;PTHR10629|CYTOSINE-SPECIFIC METHYLTRANSFERASE;SSF53335|S-adenosyl-L-methionine-dependent methyltransferases;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_64	49846	50142	1			mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_65	50213	50689	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_66	50686	51033	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_67	51026	52138	1	K	BRO family, N-terminal domain	PF02498|BRO family, N-terminal domain;PS51750|Bro-N domain profile.;SM01040|Bro_N_2				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_68	52135	52260	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_69	52257	52577	1			G3DSA:1.10.10.10|-;PF01022|Bacterial regulatory protein, arsR family;SSF46785|Winged helix DNA-binding domain;cd00090|HTH_ARSR;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_70	52603	52986	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_71	53004	53210	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_72	53394	53660	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_73	53644	53979	1			Coil|Coil				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_74	54035	54322	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_75	54560	54766	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_76	54763	54918	1			Coil|Coil				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_77	54915	55577	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_78	55625	56983	-1	L	Transposase	NF033550|NCBIFAM: ISL3 family transposase;PF01610|Transposase;PF13542|Helix-turn-helix domain of transposase family ISL3;PF14690|zinc-finger of transposase IS204/IS1001/IS1096/IS1165;PTHR33498|TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_79	56980	57729	-1	K	AntA/AntB antirepressor	PF03374|Phage antirepressor protein KilAC domain;PF08346|AntA/AntB antirepressor;PTHR36180|DNA-BINDING PROTEIN-RELATED-RELATED				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_80	57733	58176	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_81	58529	58741	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_82	58817	59323	1	S	hydrolase activity	G3DSA:3.60.21.10|-;PF12850|Calcineurin-like phosphoesterase superfamily domain;SSF56300|Metallo-dependent phosphatases				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_83	59424	59618	1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_84	59615	59761	1	S	Pyocin activator protein PrtN	PF11112|Pyocin activator protein PrtN				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_85	59758	60327	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_86	60320	60886	-1	S	Chitinase class I	G3DSA:1.10.530.10|-;PTHR34408|FAMILY PROTEIN, PUTATIVE-RELATED;SSF53955|Lysozyme-like				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_87	60883	61131	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_88	61166	61615	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_89	61636	61893	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_90	61952	62296	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_91	62309	63343	-1			mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_92	63343	63999	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_93	63996	66011	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_94	66016	66699	-1	-	-					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_95	66703	67032	-1			mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_96	67093	68085	-1	-	-	PF13252|Protein of unknown function (DUF4043);TIGR04387|JCVI: N4-gp56 family major capsid protein				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_97	68099	69091	-1			Coil|Coil;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_98	69198	74837	-1	F	acetyltransferase	Coil|Coil;PF18760|ADP-Ribosyltransferase in polyvalent proteins;PF18853|Large polyvalent protein associated domain 37;PF18857|Large polyvalent protein associated domain 38;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_99	74839	75108	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_100	75109	75789	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_101	75792	76700	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_102	76702	78033	-1			G3DSA:2.60.120.260|-;SSF49785|Galactose-binding domain-like				
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_103	78033	78437	-1	G	Belongs to the glycosyl hydrolase 8 (cellulase D) family					
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_104	78449	78871	-1							
SRR23967295_RNODE_664_length_53164_cov_19.72312	SRR23967295_RNODE_664_length_53164_cov_19.72312_105	78868	83445	-1	M	extracellular polysaccharide biosynthetic process	Coil|Coil;PF18819|Phage MuF-C-terminal domain;PF18838|Large polyvalent protein associated domain 23;mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_34	21401	22768	-1	S	Domain of unknown function (DUF4055)	PF13264|Domain of unknown function (DUF4055)				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_35	23742	24119	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_36	24119	25285	-1	S	Phage terminase large subunit	G3DSA:3.30.420.280|-;G3DSA:3.40.50.300|-;PF04466|Phage terminase large subunit;PTHR39184|-;SSF52540|P-loop containing nucleoside triphosphate hydrolases;TIGR01547|JCVI: PBSX family phage terminase large subunit				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_37	25380	25925	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_38	25934	26131	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_39	26128	26478	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_40	26510	27157	-1	-	-	G3DSA:3.30.730.10|AP2/ERF domain;PF00847|AP2 domain;PS51032|AP2/ERF domain profile.;SSF54171|DNA-binding domain				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_41	27835	28593	1	S	T5orf172	Coil|Coil;PF13455|Meiotically up-regulated gene 113;SM00974|T5orf172_2				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_42	28590	28970	1			Coil|Coil;PF19808|Family of unknown function (DUF6291)				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_43	28967	29869	1	L	AAA domain	G3DSA:3.40.50.300|-;PF13481|AAA domain;SSF52540|P-loop containing nucleoside triphosphate hydrolases				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_44	29856	30716	1	-	-					
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_45	30713	30892	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_46	30969	31118	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_47	31112	31855	1	S	AAA domain	G3DSA:3.40.50.300|-;PF13479|AAA domain;SSF52540|P-loop containing nucleoside triphosphate hydrolases				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_48	31866	32318	1	S	Protein of unknown function (DUF669)	PF05037|Protein of unknown function (DUF669);mobidb-lite|consensus disorder prediction				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_49	32420	32923	1	S	Siphovirus Gp157	Coil|Coil;PF05565|Siphovirus Gp157				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_50	32924	34672	1	L	Helicase conserved C-terminal domain	Coil|Coil;G3DSA:3.40.50.300|-;PF00271|Helicase conserved C-terminal domain;PF04851|Type III restriction enzyme, res subunit;PS51192|Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.;PS51194|Superfamilies 1 and 2 helicase C-terminal domain profile.;PTHR47396|TYPE I RESTRICTION ENZYME ECOKI R PROTEIN;SM00487|ultradead3;SM00490|helicmild6;SSF52540|P-loop containing nucleoside triphosphate hydrolases				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_51	34745	35101	1	S	VRR_NUC	G3DSA:3.40.1350.10|-;PF08774|VRR-NUC domain;SM00990|VRR_NUC_a_2				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_52	35098	35571	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_53	35933	36121	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_54	36122	36319	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_55	36322	36528	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_56	36525	36620	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_57	36622	37173	1	F	dUTP diphosphatase	G3DSA:2.70.40.10|-;PTHR11241|DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE;SSF51283|dUTPase-like				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_58	37170	37607	1			Coil|Coil				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_59	37647	37850	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_60	37862	38137	1			PF11753|Protein of unknwon function (DUF3310)				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_61	38202	38321	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_62	38318	38515	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_63	38525	38704	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_64	38805	39620	1	L	Belongs to the N(4) N(6)-methyltransferase family	G3DSA:3.40.50.150|Vaccinia Virus protein VP39;PF01555|DNA methylase;PR00506|D21 class N6 adenine-specific DNA methyltransferase signature;SSF53335|S-adenosyl-L-methionine-dependent methyltransferases				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_65	39727	39882	1			Coil|Coil				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_66	39828	40106	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_67	40106	40384	1			Coil|Coil				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_68	40744	41064	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_69	41061	41219	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_70	41248	41400	1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_71	41405	41608	1			Coil|Coil				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_72	41698	42240	-1	S	Predicted Peptidoglycan domain	G3DSA:1.20.141.10|Chitosanase, subunit A, domain 1;PF05838|Glycosyl hydrolase 108;PF09374|Predicted Peptidoglycan domain;SSF53955|Lysozyme-like				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_73	42237	42704	-1	-	-	Coil|Coil				
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_74	42706	43053	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_75	43075	43698	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_76	43695	44015	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_77	44025	45089	-1	-	-					
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_78	45103	45966	-1							
SRR23967295_RNODE_665_length_41321_cov_11.24980	SRR23967295_RNODE_665_length_41321_cov_11.24980_79	45963	46286	-1							
